tau_sat,b,tau_0,gamma_0,n,cd,beta,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20
1.0,0.1,50.0,3.333e-05,5.0,600.0,5.0,1.0,-3.8558e-15,172.85,175.19,175.83,176.57,177.31,178.05,178.76,179.46,180.15,180.82,181.47,182.09,182.7,183.3,183.91,184.51,185.11,185.69,186.26
1.0,0.1,50.0,3.333e-05,5.0,800.0,5.0,1.0,-3.8558e-15,172.85,175.19,175.83,176.57,177.31,178.05,178.76,179.46,180.15,180.82,181.47,182.09,182.7,183.3,183.91,184.51,185.11,185.7,186.27
1.0,0.1,50.0,3.333e-05,5.0,1000.0,5.0,1.0,-3.8558e-15,172.85,175.19,175.83,176.57,177.31,178.05,178.76,179.46,180.15,180.82,181.47,182.09,182.7,183.3,183.91,184.51,185.11,185.7,186.27
1.0,0.1,150.0,3.333e-05,1.0,200.0,5.0,0.285,-7.4912e-15,687.42,753.1,760.17,760.96,761.04,761.0,760.82,760.36,759.31,757.12,752.8,744.69,730.32,706.78,672.19,627.85,578.41,528.66,480.45
1.0,0.1,150.0,3.333e-05,1.0,400.0,5.0,0.675,-2.0402e-14,753.89,761.18,761.14,761.17,761.16,760.89,760.05,757.96,753.18,743.11,723.68,690.56,642.87,585.8,526.72,469.6,414.48,358.5,298.78
1.0,0.1,150.0,3.333e-05,1.0,600.0,5.0,1.0,-6.1692e-15,755.58,761.26,761.17,761.32,761.29,761.05,760.25,758.14,753.49,743.72,724.98,693.13,647.13,591.54,533.36,476.98,423.03,370.5,317.32
1.0,0.1,150.0,3.333e-05,1.0,800.0,5.0,1.0,-4.8473e-15,755.58,761.25,761.23,761.32,761.38,761.44,761.4,761.18,760.66,759.53,757.39,753.45,746.57,735.15,717.33,691.61,657.9,618.0,574.91
1.0,0.1,150.0,3.333e-05,1.0,1000.0,5.0,1.0,-1.5864e-14,755.58,761.27,761.24,761.33,761.49,761.57,761.62,761.64,761.59,761.4,761.01,760.28,759.01,756.91,753.51,748.22,740.19,728.52,712.24
1.0,0.1,150.0,3.333e-05,2.0,200.0,5.0,0.39,1.0645e-14,611.68,615.58,616.15,616.77,617.34,617.75,617.76,616.9,614.17,607.78,595.0,572.99,541.38,503.86,465.38,428.21,391.41,350.91,302.27
1.0,0.1,150.0,3.333e-05,2.0,400.0,5.0,0.78,6.6099e-15,611.9,616.92,618.08,619.34,620.54,621.55,622.13,621.78,619.5,613.57,601.43,580.5,550.24,513.67,475.17,437.22,399.69,361.11,324.16
1.0,0.1,150.0,3.333e-05,2.0,600.0,5.0,1.0,-7.9319e-15,610.23,617.66,619.18,620.81,622.4,623.91,625.25,626.27,626.68,626.03,623.52,617.98,607.86,591.65,568.65,539.84,507.57,474.03,440.45
1.0,0.1,150.0,3.333e-05,2.0,800.0,5.0,1.0,-3.0846e-15,610.23,617.66,619.18,620.82,622.44,624.03,625.56,627.03,628.37,629.55,630.47,631.02,631.01,630.2,628.21,624.59,618.73,610.04,597.88
1.0,0.1,150.0,3.333e-05,2.0,1000.0,5.0,1.0,-6.6099e-15,610.23,617.66,619.18,620.82,622.45,624.04,625.61,627.13,628.59,629.98,631.29,632.47,633.51,634.37,634.98,635.27,635.14,634.46,633.07
1.0,0.1,150.0,3.333e-05,3.0,200.0,5.0,0.38,2.1715e-14,563.83,565.92,566.42,567.04,567.64,568.15,568.45,568.28,567.14,564.12,557.74,546.02,527.39,502.16,472.89,442.51,412.57,382.67,350.37
1.0,0.1,150.0,3.333e-05,3.0,400.0,5.0,0.79,-1.5423e-14,562.71,567.36,568.51,569.86,571.19,572.39,573.3,573.61,572.75,569.73,563.03,550.72,531.39,505.42,475.1,442.83,410.1,378.29,350.47
1.0,0.1,150.0,3.333e-05,3.0,600.0,5.0,1.0,-2.5999e-14,560.82,568.0,569.61,571.35,573.08,574.74,576.27,577.61,578.6,579.04,578.62,576.84,573.02,566.21,555.37,539.66,518.99,494.01,465.9
1.0,0.1,150.0,3.333e-05,3.0,800.0,5.0,1.0,-2.2474e-14,560.82,568.0,569.61,571.36,573.1,574.82,576.47,578.05,579.53,580.89,582.11,583.13,583.9,584.35,584.39,583.85,582.52,580.1,576.23
1.0,0.1,150.0,3.333e-05,3.0,1000.0,5.0,1.0,-1.322e-14,560.82,568.0,569.61,571.36,573.1,574.83,576.5,578.11,579.66,581.13,582.52,583.84,585.08,586.23,587.3,588.28,589.12,589.83,590.32
1.0,0.1,150.0,3.333e-05,4.0,200.0,5.0,0.385,1.0219e-14,538.58,539.51,539.97,540.6,541.21,541.77,542.16,542.2,541.45,539.21,534.31,525.13,510.14,489.09,463.54,435.83,407.55,379.09,349.32
1.0,0.1,150.0,3.333e-05,4.0,400.0,5.0,0.805,-5.7286e-15,537.11,540.86,542.13,543.61,545.08,546.49,547.66,548.37,548.18,546.37,541.83,532.98,518.26,497.13,470.65,440.59,408.78,378.08,352.76
1.0,0.1,150.0,3.333e-05,4.0,600.0,5.0,1.0,-9.6945e-15,534.57,541.52,543.21,545.1,547.01,548.89,550.66,552.27,553.65,554.66,555.14,554.8,553.26,549.92,543.98,534.47,520.49,501.57,477.91
1.0,0.1,150.0,3.333e-05,4.0,800.0,5.0,1.0,-8.3725e-15,534.57,541.52,543.21,545.11,547.04,548.95,550.8,552.58,554.28,555.88,557.37,558.74,559.96,561.0,561.81,562.29,562.34,561.76,560.31
1.0,0.1,150.0,3.333e-05,4.0,1000.0,5.0,1.0,-7.4912e-15,534.57,541.52,543.21,545.11,547.04,548.96,550.83,552.63,554.37,556.04,557.66,559.21,560.71,562.16,563.57,564.94,566.25,567.45,568.52
1.0,0.1,150.0,3.333e-05,5.0,200.0,5.0,0.375,1.8735e-14,521.47,523.19,523.56,524.16,524.78,525.39,525.92,526.21,526.01,524.9,522.09,516.5,506.76,491.79,471.7,447.81,421.87,395.01,367.69
1.0,0.1,150.0,3.333e-05,5.0,400.0,5.0,0.835,-3.0846e-15,517.24,524.65,526.01,527.67,529.36,530.97,532.36,533.27,533.31,531.82,527.7,519.4,505.32,484.76,458.34,427.51,394.54,364.31,340.05
1.0,0.1,150.0,3.333e-05,5.0,600.0,5.0,1.0,3.5253e-15,518.36,525.17,527.0,529.07,531.17,533.22,535.18,537.0,538.64,540.0,540.96,541.3,540.77,538.92,535.15,528.57,518.18,503.07,482.86
1.0,0.1,150.0,3.333e-05,5.0,800.0,5.0,1.0,1.322e-15,518.36,525.17,527.0,529.07,531.18,533.26,535.28,537.24,539.13,540.94,542.64,544.22,545.67,546.97,548.1,548.99,549.55,549.62,549.04
1.0,0.1,150.0,3.333e-05,5.0,1000.0,5.0,1.0,3.5253e-15,518.36,525.17,527.0,529.07,531.18,533.27,535.3,537.27,539.2,541.06,542.85,544.57,546.23,547.84,549.41,550.95,552.42,553.77,554.99
1.0,0.1,250.0,3.333e-05,1.0,200.0,5.0,0.145,-1.2338e-14,727.06,1025.4,1157.4,1217.2,1244.7,1257.4,1263.3,1265.8,1266.9,1267.0,1266.4,1264.8,1261.6,1256.0,1246.3,1229.8,1203.8,1164.4,1111.3
1.0,0.1,250.0,3.333e-05,1.0,400.0,5.0,0.32,-1.4982e-14,1062.5,1231.2,1261.6,1267.1,1268.1,1268.3,1268.2,1267.8,1266.9,1265.0,1261.4,1254.6,1242.1,1221.0,1186.7,1136.3,1070.1,994.75,920.08
1.0,0.1,250.0,3.333e-05,1.0,600.0,5.0,0.55,-6.1692e-15,1208.0,1265.2,1268.2,1268.4,1268.4,1268.2,1267.8,1266.3,1263.3,1256.8,1243.9,1219.7,1178.5,1116.2,1035.8,946.89,858.04,771.16,680.58
1.0,0.1,250.0,3.333e-05,1.0,800.0,5.0,0.78,-2.1152e-14,1248.6,1268.2,1268.5,1268.5,1268.4,1268.2,1267.2,1264.7,1259.2,1247.6,1224.7,1183.8,1119.6,1034.9,940.44,845.71,754.91,663.14,562.32
