tau_sat,b,tau_0,gamma_0,n,strain,stress,grain_id,0p2_phi_1,0p2_Phi,0p2_phi_2,0p4_phi_1,0p4_Phi,0p4_phi_2,0p6_phi_1,0p6_Phi,0p6_phi_2,0p8_phi_1,0p8_Phi,0p8_phi_2,1p0_phi_1,1p0_Phi,1p0_phi_2
,,,,,0.132,1933.1,132,4.7654,2.4363,3.9344,4.7654,2.4363,3.9344,4.7654,2.4363,3.9344,4.7654,2.4363,3.9344,4.7654,2.4363,3.9344
,,,,,0.14,1941.4,135,3.8426,2.6022,2.8777,3.8426,2.6022,2.8777,3.8426,2.6022,2.8777,3.8426,2.6022,2.8777,3.8426,2.6022,2.8777
,,,,,0.148,1948.0,139,0.46848,2.4971,6.0733,0.46848,2.4971,6.0733,0.46848,2.4971,6.0733,0.46848,2.4971,6.0733,0.46848,2.4971,6.0733
,,,,,0.158,1954.4,157,4.477,2.5516,3.7184,4.477,2.5516,3.7184,4.477,2.5516,3.7184,4.477,2.5516,3.7184,4.477,2.5516,3.7184
,,,,,0.166,1958.2,189,5.5521,2.5399,5.06,5.5521,2.5399,5.06,5.5521,2.5399,5.06,5.5521,2.5399,5.06,5.5521,2.5399,5.06
,,,,,0.174,1961.4,199,5.2397,2.1186,5.3272,5.2397,2.1186,5.3272,5.2397,2.1186,5.3272,5.2397,2.1186,5.3272,5.2397,2.1186,5.3272
,,,,,0.182,1964.0,201,2.7769,2.8808,2.958,2.7769,2.8808,2.958,2.7769,2.8808,2.958,2.7769,2.8808,2.958,2.7769,2.8808,2.958
,,,,,0.19,1966.0,212,3.4648,2.6332,3.7233,3.4648,2.6332,3.7233,3.4648,2.6332,3.7233,3.4648,2.6332,3.7233,3.4648,2.6332,3.7233
,,,,,0.198,1967.6,213,5.5101,2.1046,5.1226,5.5101,2.1046,5.1226,5.5101,2.1046,5.1226,5.5101,2.1046,5.1226,5.5101,2.1046,5.1226
,,,,,0.208,1969.1,215,3.9453,2.4097,3.5259,3.9453,2.4097,3.5259,3.9453,2.4097,3.5259,3.9453,2.4097,3.5259,3.9453,2.4097,3.5259
,,,,,0.216,1970.1,228,4.2459,2.7104,3.8766,4.2459,2.7104,3.8766,4.2459,2.7104,3.8766,4.2459,2.7104,3.8766,4.2459,2.7104,3.8766
,,,,,0.224,1970.8,235,0.47209,2.5014,6.0743,0.47209,2.5014,6.0743,0.47209,2.5014,6.0743,0.47209,2.5014,6.0743,0.47209,2.5014,6.0743
,,,,,0.232,1971.5,238,5.536,2.2613,4.4828,5.536,2.2613,4.4828,5.536,2.2613,4.4828,5.536,2.2613,4.4828,5.536,2.2613,4.4828
,,,,,0.24,1971.9,239,5.9759,2.9285,5.5426,5.9759,2.9285,5.5426,5.9759,2.9285,5.5426,5.9759,2.9285,5.5426,5.9759,2.9285,5.5426
,,,,,0.248,1972.3,274,2.7992,2.8792,2.979,2.7992,2.8792,2.979,2.7992,2.8792,2.979,2.7992,2.8792,2.979,2.7992,2.8792,2.979
,,,,,0.256,1972.6,281,4.9797,1.8616,4.1101,4.9797,1.8616,4.1101,4.9797,1.8616,4.1101,4.9797,1.8616,4.1101,4.9797,1.8616,4.1101
,,,,,0.266,1972.9,286,1.7123,2.9121,0.52294,1.7123,2.9121,0.52294,1.7123,2.9121,0.52294,1.7123,2.9121,0.52294,1.7123,2.9121,0.52294
,,,,,0.274,1973.1,314,6.2318,2.4265,5.7962,6.2318,2.4265,5.7962,6.2318,2.4265,5.7962,6.2318,2.4265,5.7962,6.2318,2.4265,5.7962
,,,,,0.282,1973.3,338,4.3674,2.2095,4.1395,4.3674,2.2095,4.1395,4.3674,2.2095,4.1395,4.3674,2.2095,4.1395,4.3674,2.2095,4.1395
,,,,,0.29,1973.4,341,3.4479,3.0317,2.5617,3.4479,3.0317,2.5617,3.4479,3.0317,2.5617,3.4479,3.0317,2.5617,3.4479,3.0317,2.5617
,,,,,0.298,1973.5,346,3.6272,2.7968,2.8828,3.6272,2.7968,2.8828,3.6272,2.7968,2.8828,3.6272,2.7968,2.8828,3.6272,2.7968,2.8828
,,,,,0.306,1973.6,385,0.37819,2.8154,0.10753,0.37819,2.8154,0.10753,0.37819,2.8154,0.10753,0.37819,2.8154,0.10753,0.37819,2.8154,0.10753
,,,,,0.316,1973.6,398,4.4206,2.3101,4.0241,4.4206,2.3101,4.0241,4.4206,2.3101,4.0241,4.4206,2.3101,4.0241,4.4206,2.3101,4.0241
,,,,,0.324,1973.7,400,5.5114,2.1819,5.6762,5.5114,2.1819,5.6762,5.5114,2.1819,5.6762,5.5114,2.1819,5.6762,5.5114,2.1819,5.6762
,,,,,0.332,1973.7,462,0.61724,2.6033,0.10193,0.61724,2.6033,0.10193,0.61724,2.6033,0.10193,0.61724,2.6033,0.10193,0.61724,2.6033,0.10193
,,,,,0.34,1973.7,463,5.3107,2.191,4.6013,5.3107,2.191,4.6013,5.3107,2.191,4.6013,5.3107,2.191,4.6013,5.3107,2.191,4.6013
,,,,,0.348,1973.8,469,5.5449,1.9183,5.2197,5.5449,1.9183,5.2197,5.5449,1.9183,5.2197,5.5449,1.9183,5.2197,5.5449,1.9183,5.2197
,,,,,0.356,1973.8,486,0.147,2.3648,6.0216,0.147,2.3648,6.0216,0.147,2.3648,6.0216,0.147,2.3648,6.0216,0.147,2.3648,6.0216
,,,,,0.366,1973.8,526,3.368,3.037,3.2006,3.368,3.037,3.2006,3.368,3.037,3.2006,3.368,3.037,3.2006,3.368,3.037,3.2006
,,,,,0.374,1973.4,538,5.3431,2.458,4.3698,5.3431,2.458,4.3698,5.3431,2.458,4.3698,5.3431,2.458,4.3698,5.3431,2.458,4.3698
,,,,,0.382,1973.2,568,5.6637,2.1403,5.7273,5.6637,2.1403,5.7273,5.6637,2.1403,5.7273,5.6637,2.1403,5.7273,5.6637,2.1403,5.7273
,,,,,0.39,1973.4,593,3.0783,2.7411,3.3173,3.0783,2.7411,3.3173,3.0783,2.7411,3.3173,3.0783,2.7411,3.3173,3.0783,2.7411,3.3173
,,,,,0.398,1973.6,606,3.4625,2.6526,2.896,3.4625,2.6526,2.896,3.4625,2.6526,2.896,3.4625,2.6526,2.896,3.4625,2.6526,2.896
,,,,,0.406,1973.8,607,5.5325,2.6482,5.341,5.5325,2.6482,5.341,5.5325,2.6482,5.341,5.5325,2.6482,5.341,5.5325,2.6482,5.341
,,,,,0.416,1973.8,639,5.9455,2.9366,5.5079,5.9455,2.9366,5.5079,5.9455,2.9366,5.5079,5.9455,2.9366,5.5079,5.9455,2.9366,5.5079
,,,,,0.424,1973.9,650,5.3334,1.9653,5.509,5.3334,1.9653,5.509,5.3334,1.9653,5.509,5.3334,1.9653,5.509,5.3334,1.9653,5.509
,,,,,0.432,1973.9,661,0.40907,2.4042,0.32947,0.40907,2.4042,0.32947,0.40907,2.4042,0.32947,0.40907,2.4042,0.32947,0.40907,2.4042,0.32947
,,,,,0.44,1973.9,666,5.9506,2.9327,5.5195,5.9506,2.9327,5.5195,5.9506,2.9327,5.5195,5.9506,2.9327,5.5195,5.9506,2.9327,5.5195
,,,,,0.448,1973.9,685,4.2372,2.3511,4.5365,4.2372,2.3511,4.5365,4.2372,2.3511,4.5365,4.2372,2.3511,4.5365,4.2372,2.3511,4.5365
,,,,,0.456,1973.9,696,4.3239,2.9994,3.3566,4.3239,2.9994,3.3566,4.3239,2.9994,3.3566,4.3239,2.9994,3.3566,4.3239,2.9994,3.3566
,,,,,0.464,1973.9,707,0.041879,2.4758,0.071554,0.041879,2.4758,0.071554,0.041879,2.4758,0.071554,0.041879,2.4758,0.071554,0.041879,2.4758,0.071554
,,,,,0.474,1973.9,708,3.6463,2.667,3.3158,3.6463,2.667,3.3158,3.6463,2.667,3.3158,3.6463,2.667,3.3158,3.6463,2.667,3.3158
,,,,,0.482,1973.9,724,4.6981,2.1515,4.0584,4.6981,2.1515,4.0584,4.6981,2.1515,4.0584,4.6981,2.1515,4.0584,4.6981,2.1515,4.0584
,,,,,0.49,1973.9,734,6.0997,2.5121,4.9709,6.0997,2.5121,4.9709,6.0997,2.5121,4.9709,6.0997,2.5121,4.9709,6.0997,2.5121,4.9709
,,,,,0.498,1973.9,745,3.9539,2.9302,2.7406,3.9539,2.9302,2.7406,3.9539,2.9302,2.7406,3.9539,2.9302,2.7406,3.9539,2.9302,2.7406
,,,,,0.506,1973.9,767,3.6319,2.886,3.1953,3.6319,2.886,3.1953,3.6319,2.886,3.1953,3.6319,2.886,3.1953,3.6319,2.886,3.1953
,,,,,0.514,1973.9,768,4.2382,2.3434,4.5291,4.2382,2.3434,4.5291,4.2382,2.3434,4.5291,4.2382,2.3434,4.5291,4.2382,2.3434,4.5291
,,,,,0.524,1973.9,769,5.5076,1.9114,4.9013,5.5076,1.9114,4.9013,5.5076,1.9114,4.9013,5.5076,1.9114,4.9013,5.5076,1.9114,4.9013
,,,,,0.532,1973.9,,,,,,,,,,,,,,,,
,,,,,0.54,1973.9,,,,,,,,,,,,,,,,
,,,,,0.548,1973.9,,,,,,,,,,,,,,,,
,,,,,0.556,1973.9,,,,,,,,,,,,,,,,
,,,,,0.564,1973.9,,,,,,,,,,,,,,,,
,,,,,0.574,1973.9,,,,,,,,,,,,,,,,
,,,,,0.582,1973.9,,,,,,,,,,,,,,,,
,,,,,0.59,1973.9,,,,,,,,,,,,,,,,
,,,,,0.598,1973.9,,,,,,,,,,,,,,,,
,,,,,0.606,1973.9,,,,,,,,,,,,,,,,
,,,,,0.614,1973.9,,,,,,,,,,,,,,,,
,,,,,0.624,1973.9,,,,,,,,,,,,,,,,
,,,,,0.632,1973.9,,,,,,,,,,,,,,,,
,,,,,0.64,1973.9,,,,,,,,,,,,,,,,
,,,,,0.648,1973.9,,,,,,,,,,,,,,,,
,,,,,0.656,1973.9,,,,,,,,,,,,,,,,
,,,,,0.664,1973.9,,,,,,,,,,,,,,,,
,,,,,0.672,1973.9,,,,,,,,,,,,,,,,
,,,,,0.682,1973.9,,,,,,,,,,,,,,,,
,,,,,0.69,1973.8,,,,,,,,,,,,,,,,
,,,,,0.698,1973.8,,,,,,,,,,,,,,,,
,,,,,0.706,1973.9,,,,,,,,,,,,,,,,
,,,,,0.714,1973.9,,,,,,,,,,,,,,,,
,,,,,0.722,1973.9,,,,,,,,,,,,,,,,
,,,,,0.732,1973.9,,,,,,,,,,,,,,,,
,,,,,0.74,1973.9,,,,,,,,,,,,,,,,
,,,,,0.748,1973.9,,,,,,,,,,,,,,,,
,,,,,0.756,1973.9,,,,,,,,,,,,,,,,
,,,,,0.764,1973.9,,,,,,,,,,,,,,,,
,,,,,0.772,1973.9,,,,,,,,,,,,,,,,
,,,,,0.782,1973.9,,,,,,,,,,,,,,,,
,,,,,0.79,1973.9,,,,,,,,,,,,,,,,
,,,,,0.798,1973.9,,,,,,,,,,,,,,,,
,,,,,0.806,1973.9,,,,,,,,,,,,,,,,
,,,,,0.814,1973.9,,,,,,,,,,,,,,,,
,,,,,0.83,1973.9,,,,,,,,,,,,,,,,
