tau_sat,b,tau_0,gamma_0,n,strain,stress,grain_id,0p2_phi_1,0p2_Phi,0p2_phi_2,0p4_phi_1,0p4_Phi,0p4_phi_2,0p6_phi_1,0p6_Phi,0p6_phi_2,0p8_phi_1,0p8_Phi,0p8_phi_2,1p0_phi_1,1p0_Phi,1p0_phi_2
800,8,800,3.333e-05,1,0.0,0.0,27,0.2173,2.8228,0.13936,0.2173,2.8228,0.13936,0.2173,2.8228,0.13936,0.2173,2.8228,0.13936,0.2173,2.8228,0.13936
,,,,,0.008,742.35,35,4.5267,2.1578,4.2821,4.5267,2.1578,4.2821,4.5267,2.1578,4.2821,4.5267,2.1578,4.2821,4.5267,2.1578,4.2821
,,,,,0.016,1037.5,37,4.5363,1.9994,4.7538,4.5363,1.9994,4.7538,4.5363,1.9994,4.7538,4.5363,1.9994,4.7538,4.5363,1.9994,4.7538
,,,,,0.024,1223.0,45,4.3962,2.2246,3.9805,4.3962,2.2246,3.9805,4.3962,2.2246,3.9805,4.3962,2.2246,3.9805,4.3962,2.2246,3.9805
,,,,,0.032,1362.7,47,5.2871,2.937,4.0026,5.2871,2.937,4.0026,5.2871,2.937,4.0026,5.2871,2.937,4.0026,5.2871,2.937,4.0026
,,,,,0.04,1475.0,52,3.7596,2.6706,3.2373,3.7596,2.6706,3.2373,3.7596,2.6706,3.2373,3.7596,2.6706,3.2373,3.7596,2.6706,3.2373
,,,,,0.048,1567.3,53,4.5326,1.9954,4.738,4.5326,1.9954,4.738,4.5326,1.9954,4.738,4.5326,1.9954,4.738,4.5326,1.9954,4.738
,,,,,0.058,1660.2,56,5.823,2.1733,5.0596,5.823,2.1733,5.0596,5.823,2.1733,5.0596,5.823,2.1733,5.0596,5.823,2.1733,5.0596
,,,,,0.066,1719.9,75,3.7165,2.7249,3.4311,3.7165,2.7249,3.4311,3.7165,2.7249,3.4311,3.7165,2.7249,3.4311,3.7165,2.7249,3.4311
,,,,,0.074,1768.9,77,5.0584,2.9448,4.4591,5.0584,2.9448,4.4591,5.0584,2.9448,4.4591,5.0584,2.9448,4.4591,5.0584,2.9448,4.4591
,,,,,0.082,1808.9,83,5.5534,2.5401,5.0676,5.5534,2.5401,5.0676,5.5534,2.5401,5.0676,5.5534,2.5401,5.0676,5.5534,2.5401,5.0676
,,,,,0.09,1841.4,91,2.7532,2.8893,2.9373,2.7532,2.8893,2.9373,2.7532,2.8893,2.9373,2.7532,2.8893,2.9373,2.7532,2.8893,2.9373
,,,,,0.098,1867.7,92,5.0076,2.3701,4.8849,5.0076,2.3701,4.8849,5.0076,2.3701,4.8849,5.0076,2.3701,4.8849,5.0076,2.3701,4.8849
,,,,,0.108,1893.6,96,2.7731,2.8827,2.9573,2.7731,2.8827,2.9573,2.7731,2.8827,2.9573,2.7731,2.8827,2.9573,2.7731,2.8827,2.9573
,,,,,0.116,1909.8,117,5.4913,2.1663,4.3144,5.4913,2.1663,4.3144,5.4913,2.1663,4.3144,5.4913,2.1663,4.3144,5.4913,2.1663,4.3144
,,,,,0.124,1922.7,123,4.2549,2.5481,3.206,4.2549,2.5481,3.206,4.2549,2.5481,3.206,4.2549,2.5481,3.206,4.2549,2.5481,3.206
