time,strain,stress,g1_phi_1,g1_Phi,g1_phi_2,g2_phi_1,g2_Phi,g2_phi_2,g3_phi_1,g3_Phi,g3_phi_2,g4_phi_1,g4_Phi,g4_phi_2,g5_phi_1,g5_Phi,g5_phi_2,g6_phi_1,g6_Phi,g6_phi_2,g7_phi_1,g7_Phi,g7_phi_2,g8_phi_1,g8_Phi,g8_phi_2,g9_phi_1,g9_Phi,g9_phi_2,g10_phi_1,g10_Phi,g10_phi_2,g11_phi_1,g11_Phi,g11_phi_2,g12_phi_1,g12_Phi,g12_phi_2,g13_phi_1,g13_Phi,g13_phi_2,g14_phi_1,g14_Phi,g14_phi_2,g15_phi_1,g15_Phi,g15_phi_2,g16_phi_1,g16_Phi,g16_phi_2,g17_phi_1,g17_Phi,g17_phi_2,g18_phi_1,g18_Phi,g18_phi_2,g19_phi_1,g19_Phi,g19_phi_2,g20_phi_1,g20_Phi,g20_phi_2,g21_phi_1,g21_Phi,g21_phi_2,g22_phi_1,g22_Phi,g22_phi_2,temperature,type,medium,strain_rate,youngs,poissons
0.0,0.0,48.895827,5.29749909276287,1.493178249073977,0.9712404175003818,4.130265532608114,0.5723558625307429,1.6641568255722197,5.594045095225049,1.4058563220844116,1.0768707862556304,5.852876086614422,0.3354484909712949,0.9826230650347362,5.619312852117587,1.2572611459496683,0.616415177802462,5.737462879910895,0.6290806691686455,6.220804582078954,6.147528617279132,0.26085979853847435,0.5251890391928957,4.315292197062856,0.36936116322599816,1.9469732718600692,5.688582751239803,0.37072654049422327,0.7964216238667292,5.615849064088214,0.4669616048983356,1.0268710493655093,3.8292468295058724,0.42918891405371856,1.9483627762481508,5.426105168303748,1.302421642436939,1.1977629583237834,5.344319939207177,1.2594553668104438,1.0194428809434388,4.733115195400089,1.0490532676235087,0.5566692795851581,4.626263931133666,1.215719550777625,1.9434155124465602,5.210223254737465,1.459813894961758,1.149175576983696,4.521277790006211,0.3513733740541137,1.985881221788667,5.553222583496136,1.4115872410987367,0.21198413985299133,5.617327547102719,1.3880898036115865,1.0518727707681168,5.619089049788166,0.7458861040610867,1.0458213059618595,4.717069002465196,1.1414806757457656,0.6869457084867858,4.512897975995367,1.2376860223155703,0.6913714218085025,20,tensile,Air,0.0001649733,190000,0.28
87.4,0.0009995003330834232,70.26458439,5.297295018456622,1.4931464683788795,0.9713213642167123,4.129879633198572,0.5724681033732112,1.6644562711525355,5.594009986222357,1.4054935350326399,1.0772084378351623,5.8521484226501705,0.33524063318995,0.9831822972890227,5.6190465807725065,1.2571027074348422,0.6166106239490056,5.73709069501676,0.6290123042535347,6.220951479007267,6.1470781879468985,0.26052306117542384,0.525549062787548,4.314974161187902,0.369523298703221,1.9471459780468274,5.687931928386424,0.37052876675775864,0.7969244717965899,5.615248046420573,0.4667756721503355,1.0273291185313622,3.828740746757681,0.42939717900451024,1.948694746894379,5.426183933221572,1.302483584553334,1.1980169732481953,5.344429210704251,1.2590793413790156,1.020011156453775,4.732846655423581,1.0490575012860066,0.5570510534676785,4.6259680520175595,1.2157850464327828,1.9436989499041883,5.210019800998116,1.4597997462301293,1.1493303275052946,4.520406956980936,0.35140482295529873,1.9866878580374159,5.553070598374843,1.4113675708510782,0.21214815890984542,5.617176709213526,1.387850788818158,1.052112342051427,5.618736751613582,0.7457181357840095,1.0461061036383386,4.716736667666248,1.14146579385012,0.6872379551130108,4.5125918848179,1.2377499930570397,0.6916051091298794,,,,,,
146.65,0.001998002662673058,97.531996644,5.297091147919063,1.4931147194168832,0.9714022301075514,4.129494119110522,0.5725802321429275,1.6647554177357164,5.59397491227609,1.4051311102246145,1.0775457522687777,5.8514214852601425,0.3350329829551013,0.9837409711485541,5.618780575300007,1.256944427121255,0.6168058749421,5.7367188817501376,0.6289440076009565,6.221098229258641,6.14662820836944,0.2601866600454427,0.5259087268977725,4.314656442872535,0.36968527228777875,1.9473185117860414,5.6872817553812345,0.370331190498847,0.7974268176315797,5.614647628870523,0.46658992505663277,1.0277867303140478,3.8282351693343344,0.4296052360022461,1.9490263860671158,5.426262619492436,1.3025454648203763,1.1982707345380923,5.344538373093471,1.258703691409888,1.020578864539643,4.732578383584888,1.0490617307211823,0.5574324461480559,4.6256724683374655,1.215850476690371,1.9439821043488312,5.209816550407816,1.4597856116260435,1.149484923508124,4.519536993484536,0.35143624045468,1.9874936888579249,5.552918765011059,1.4111481199446916,0.21231201419327556,5.61702602193633,1.387612012681577,1.0523516741222323,5.618384805209577,0.745550335223662,1.0463906169436505,4.716404664704399,1.1414509268140833,0.6875299099302745,4.512286099273215,1.2378138999235697,0.6918385631139019,,,,,,
232.7,0.002995508979798371,124.76393227999999,5.296887480743669,1.4930830021246797,0.9714830153341468,4.129108989575242,0.5726922490634785,1.6650542659182666,5.593939873316309,1.4047690469376546,1.0778827302290865,5.850695272994813,0.3348255398526908,0.984299087727335,5.618514835169668,1.2567863046932943,0.6170009311710795,5.73634743936963,0.6288757790747265,6.221244833125701,6.146178677649489,0.2598505944777418,0.5262680322407451,4.314339041483223,0.36984708430264923,1.9474908734217466,5.686632230927778,0.3701338113235181,0.797928662373384,5.614047810240821,0.4664043632468449,1.0282438856260512,3.827730096227704,0.42981308546179503,1.9493576944276554,5.426341227273241,1.302607283361456,1.1985242426994784,5.34464742659251,1.2583284161540087,1.0211460063330622,4.732310379349069,1.0490659559374693,0.5578134583867939,4.6253771795039835,1.2159158416808582,1.9442649763451039,5.2096135025612815,1.4597714911213158,1.149639365300451,4.518667897782292,0.35146762661490455,1.988298715857033,5.552767083102028,1.4109288879419886,0.2124757060300117,5.616875484970657,1.3873734747257207,1.0525907674577657,5.618033209874361,0.7453827020454475,1.0466748464451199,4.716072992917629,1.1414360746080106,0.6878215735207394,4.511980618751566,1.2378777430425911,0.6920717842260813,,,,,,
323.55,0.003992021269537457,168.96900327999998,5.296684016525136,1.4930513164391501,0.9715637200572644,4.128724243826308,0.5728041543577822,1.6653528162949054,5.593904869273284,1.40440734445124,1.0782193723866889,5.849969784408993,0.33461830346989835,0.9848566481360401,5.618249359852657,1.256628339836289,0.6171957930241133,5.7359763671360495,0.628807618539067,6.221391290900194,6.1457295948924635,0.2595148638035369,0.5266269795314982,4.314021956388321,0.37000873506984494,1.9476630632969492,5.6859833537334765,0.36993662883897943,0.7984300070206942,5.613448589337806,0.4662189863516963,1.0287005853771305,3.827225526432673,0.43002072779678613,1.949688672635315,5.42641975672042,1.3026690402995946,1.1987774982368453,5.344756371418387,1.257953514864565,1.0217125829626672,4.732042642182788,1.049070176943276,0.558194090942122,4.625082184929477,1.2159811415343238,1.944547566455932,5.209410657054437,1.4597573846878453,1.1497936531896216,4.517799668144668,0.3514989814984322,1.9891029406367766,5.552615552345895,1.4107098744066886,0.21263923474580743,5.616725098016932,1.3871351744758889,1.052829622533832,5.617681964908248,0.7452152359157691,1.0469587927083743,4.715741651645898,1.1414212372023442,0.688112946464828,4.511675442645037,1.237941522541155,0.6923047729305369,,,,,,
522.65,0.004987541511038968,275.55376425,5.296480754859366,1.4930196622973648,0.9716443444371898,4.1283398810995875,0.572915948248091,1.6656510694585764,5.593869900077496,1.4040460020470014,1.0785556794101814,5.849245018061803,0.33441127339513677,0.9854136534820264,5.617984148821719,1.2564705322365093,0.6173904608882121,5.735605664312418,0.6287395258586058,6.221537602872996,6.145280959206451,0.2591794673560415,0.5269855694829281,4.313705186958076,0.3701702249104165,1.9478350817536314,5.685335122509608,0.36973964265361176,0.7989308525692187,5.612849964971377,0.46603379400301426,1.0291568304743255,3.8267214589471275,0.43022816341961256,1.9500193213474417,5.426498207989938,1.3027307357574465,1.1990305016531777,5.344865207787475,1.2575789867969742,1.0222785955537226,4.731775171554298,1.0490743937469857,0.5585743445700053,4.624787484028064,1.2160463763804579,1.9448298752425612,5.209208013484417,1.4597432922976161,1.1499477874820625,4.516932302847294,0.351530305167536,1.9899063647944066,5.55246417244171,1.4104910789038145,0.21280260066544296,5.616574860776477,1.3868971114587985,1.0530682398248157,5.617331069613637,0.7450479365020264,1.0472424562973526,4.715410640231136,1.1414064145676173,0.6884040293412288,4.511370570347523,1.2380052385459313,0.692537529690002,,,,,,
704.75,0.005982071677547469,389.9471787,5.2962776953434725,1.4929880396365807,0.9717248886337309,4.127955900633224,0.5730276309559944,1.6659490260004544,5.59383496565963,1.403685019008714,1.0788916519661662,5.84852097251667,0.334204449218047,0.9859701048693478,5.617719201551174,1.2563128815811608,0.6175849351492317,5.73523533016396,0.6286715008983753,6.221683769334115,6.144832769702196,0.2588444044704584,0.5273438028058044,4.3133887325646105,0.3703315541444568,1.9480069291327555,5.6846875359713005,0.36954285237696377,0.7994312000116953,5.61225193595499,0.4658487858337248,1.0296126218219708,3.8262178927719432,0.43043539274143755,1.9503496412194228,5.4265765812372955,1.3027923698572992,1.1992832534499596,5.344973935915503,1.2572048312088757,1.022844045228135,4.731507966933439,1.0490786063569564,0.5589542200241536,4.6244930762156145,1.2161115463485646,1.9451119032645632,5.209005571449557,1.4597292139226956,1.1501017684832875,4.516065800170943,0.35156159768430334,1.9907089899224095,5.55231294308942,1.4102725009996857,0.21296580411272992,5.616424772951501,1.3866592852025796,1.0533066198036858,5.616980523295009,0.7448808034726112,1.0475258377743113,4.71507995801724,1.1413916066744487,0.6886948227269043,4.511066001254733,1.2380688911832136,0.6927700549658294,,,,,,
801.95,0.006975613736425138,439.0044696,5.296074837575764,1.4929564483942424,0.9718053528062183,4.1275723016676364,0.5731392027024211,1.6662466865099523,5.59380006595058,1.4033243946222873,1.0792272907192586,5.847797646341297,0.33399783052949283,0.9865260033987664,5.617454517516908,1.2561553875583824,0.6177792161918777,5.734865363958082,0.6286035435238092,6.221829790572695,6.1443850254931025,0.258509674483972,0.5277016802087782,4.313072592581921,0.37049272309110454,1.9481786057742663,5.684040592837509,0.3693462576197487,0.7999310503379028,5.6116545011056305,0.46566396147784805,1.0300679603217047,3.8257148269109753,0.4306424161721984,1.9506796329046912,5.42665487661753,1.3028539427210764,1.1995357541271803,5.345082556017553,1.256831047360121,1.0234089331044676,4.73124102779163,1.0490828147815217,0.5593337180560299,4.624198960909731,1.2161766515675616,1.9453936510798402,5.208803330549392,1.4597151495352336,1.1502555964978984,4.515200158401519,0.35159285911063665,1.9915108176085248,5.552161863989863,1.4100541402619162,0.2131288454105144,5.616274834245105,1.3864216952367687,1.053544762942001,5.616630325258923,0.7447138364969037,1.047808937699831,4.714749604350059,1.1413768134935458,0.6889853271970968,4.51076173476417,1.2381324805789187,0.6930023492179964,,,,,,
881.4,0.007968169649176881,462.30409008000004,5.295872181155751,1.4929248885079813,0.9718857371135089,4.127189083445501,0.5732506637076421,1.6665440515747267,5.593765200881447,1.4029641281757572,1.0795625963320947,5.847075038107654,0.3337914169215565,0.9870813501677675,5.617190096196366,1.2559980498572403,0.6179733043997102,5.7344957649643815,0.6285356536007428,6.22197566687702,6.1439377256952055,0.2581752767357401,0.5280592023983905,4.312756766385866,0.3706537320685483,1.9483501120170976,5.683394291831003,0.36914985799383826,0.8004304045346728,5.611057659243813,0.46547932057049346,1.0305228468724812,3.825212260371043,0.43084923412061216,1.9510092970547344,5.426733094285213,1.3029154544703385,1.1997880041833402,5.34519106830807,1.256457634512766,1.0239732602979523,4.730974353601867,1.0490870190289898,0.55971283941486,4.623905137529759,1.2162416921659829,1.9456751192446344,5.208601290384642,1.459701099107464,1.1504092718295917,4.5143353758300195,0.3516240895082538,1.992311849435764,5.5520109348447715,1.4098359962594058,0.21329172488068152,5.61612504436127,1.3861843410923027,1.053782669709917,5.616280474813995,0.7445470352452688,1.0480917566328225,4.71441957857739,1.1413620349957037,0.6892755433253361,4.510457770275137,1.2381960068585876,0.693234412905111,,,,,,
903.2,0.008959741371471801,475.59158496,5.295669725684128,1.4928933599156138,0.9719660417139871,4.126806245211749,0.573362014191273,1.666841121780688,5.5937303703835335,1.402604218959277,1.0798975694653394,5.8463531463919605,0.33358520798753377,0.9876361462705712,5.616925937068551,1.255840868167726,0.6181672001551485,5.734126532454621,0.6284678309954097,6.222121398534514,6.143490869427177,0.2578412105668866,0.5284163700790804,4.312441253354162,0.37081458139402973,1.9485214481991742,5.68274863167835,0.36895365311225914,0.8009292635859013,5.610461409193556,0.4652948627478565,1.03097728237058,3.824710192161921,0.43105584699417976,1.9513386343191015,5.426811234394465,1.3029769052262847,1.2000400041154569,5.34529947300086,1.2560845919310617,1.024537027920504,4.730707943838711,1.049091219107645,0.5600915848476404,4.623611605496763,1.216306668271981,1.9459563083135327,5.208399450557224,1.459687062611702,1.150562794781159,4.513471450752536,0.35165528893868936,1.9931120869824293,5.551860155356764,1.4096180685623372,0.21345444284415857,5.615975403004861,1.3859472223015135,1.0540203405761903,5.615930971270905,0.744380399389052,1.0483742951305344,4.714089880048972,1.1413472711518031,0.6895654716834457,4.510154107188719,1.2382594701473888,0.6934662464844167,,,,,,
