start,end,weight
33,33,1013.0
43,52,940.0
35,38,760.0
45,58,596.0
55,57,455.0
15,10,393.0
20,27,347.0
48,42,332.0
54,55,273.0
36,41,260.0
24,31,243.0
50,43,241.0
13,20,238.0
37,40,232.0
21,29,230.0
29,26,230.0
41,44,207.0
10,16,204.0
44,51,191.0
9,15,158.0
32,35,150.0
6,14,130.0
