tau_sat,b,tau_0,gamma_0,n,strain,stress,grain_id,0p2_phi_1,0p2_Phi,0p2_phi_2,0p4_phi_1,0p4_Phi,0p4_phi_2,0p6_phi_1,0p6_Phi,0p6_phi_2,0p8_phi_1,0p8_Phi,0p8_phi_2,1p0_phi_1,1p0_Phi,1p0_phi_2
,,,,,0.068,777.46,35,4.5277,2.1577,4.2866,4.5295,2.1578,4.2934,4.5314,2.1582,4.3,4.5332,2.1586,4.3065,4.535,2.159,4.3127
,,,,,0.07,782.91,36,5.643,2.5932,5.7861,5.6421,2.593,5.7855,5.6414,2.5929,5.785,5.6407,2.5927,5.7846,5.6401,2.5926,5.7841
,,,,,0.072,788.27,37,4.5359,2.0006,4.7524,4.5342,2.001,4.7499,4.5326,2.0015,4.7474,4.531,2.0019,4.7449,4.5295,2.0023,4.7426
,,,,,0.074,793.54,38,6.2551,2.2409,4.9273,6.2536,2.2403,4.9206,6.2521,2.2398,4.914,6.2507,2.2394,4.9075,6.2493,2.239,4.9014
,,,,,0.076,798.72,39,6.2536,2.2413,4.9263,6.2521,2.2407,4.9196,6.2507,2.2403,4.913,6.2492,2.2398,4.9065,6.2479,2.2394,4.9003
,,,,,0.078,803.82,40,3.8822,2.8718,3.4712,3.8811,2.8729,3.4683,3.8796,2.8741,3.4652,3.878,2.8752,3.4619,3.8764,2.8763,3.4588
,,,,,0.08,808.84,41,6.1699,2.2456,4.7808,6.1687,2.2453,4.7756,6.1676,2.245,4.7708,6.1666,2.2447,4.7661,6.1657,2.2445,4.7617
,,,,,0.082,813.77,42,5.8193,2.1752,5.0575,5.818,2.1697,5.059,5.8168,2.1641,5.0608,5.8157,2.1585,5.0628,5.8148,2.1532,5.0648
,,,,,0.084,818.62,43,3.8375,2.5943,2.8758,3.842,2.5957,2.8814,3.8462,2.5969,2.8866,3.8503,2.5981,2.8917,3.8541,2.5992,2.8965
,,,,,0.086,823.39,44,0.66276,2.5015,0.53527,0.66296,2.5006,0.53639,0.66276,2.4995,0.53716,0.66246,2.4983,0.53787,0.66215,2.4972,0.53853
,,,,,0.088,828.09,45,4.3954,2.2253,3.9816,4.3945,2.2261,3.9837,4.3936,2.2269,3.9861,4.3927,2.2277,3.9885,4.3918,2.2285,3.9908
,,,,,0.09,832.7,46,5.5008,2.1027,5.1206,5.5015,2.1026,5.1213,5.5022,2.1026,5.122,5.5029,2.1025,5.1228,5.5035,2.1024,5.1235
,,,,,0.092,837.24,47,5.2862,2.9372,4.0034,5.2823,2.9377,4.0008,5.2773,2.9381,3.9969,5.2719,2.9384,3.9927,5.2666,2.9387,3.9885
,,,,,0.094,841.71,48,5.0766,2.2878,5.2598,5.0792,2.2896,5.2565,5.0818,2.2914,5.2529,5.0844,2.2932,5.2493,5.087,2.2949,5.2459
,,,,,0.096,846.1,49,3.2435,2.9269,2.2728,3.2537,2.9305,2.2834,3.2641,2.9338,2.2942,3.2744,2.937,2.3051,3.2843,2.9399,2.3155
,,,,,0.098,850.42,50,5.6821,2.1445,5.6644,5.686,2.145,5.6647,5.6899,2.1454,5.6649,5.6938,2.1457,5.6651,5.6975,2.146,5.6652
,,,,,0.1,854.66,51,5.2156,2.9853,5.1394,5.2057,2.9824,5.1291,5.1954,2.9794,5.1186,5.1852,2.9763,5.1082,5.1757,2.9733,5.0985
,,,,,0.102,858.84,52,3.7598,2.6708,3.2358,3.759,2.6716,3.2337,3.7581,2.6724,3.2314,3.7572,2.6731,3.2292,3.7564,2.6738,3.2272
,,,,,0.104,862.95,53,4.5321,1.9968,4.7366,4.5306,1.9974,4.7343,4.529,1.998,4.732,4.5276,1.9985,4.7297,4.5262,1.9991,4.7275
,,,,,0.106,866.99,54,4.5353,1.9977,4.7411,4.5337,1.9983,4.7387,4.5322,1.9988,4.7364,4.5307,1.9994,4.734,4.5293,1.9999,4.7318
,,,,,0.108,870.97,55,2.7576,2.8867,2.942,2.7535,2.8867,2.9419,2.7498,2.8867,2.942,2.7463,2.8868,2.9421,2.7431,2.8869,2.9424
,,,,,0.11,874.88,56,5.822,2.1697,5.0604,5.8207,2.1641,5.062,5.8195,2.1585,5.0639,5.8185,2.1529,5.0659,5.8176,2.1477,5.0678
,,,,,0.112,878.72,57,1.2128,2.6227,0.58156,1.2046,2.6272,0.57332,1.1964,2.6318,0.56504,1.1884,2.6363,0.55678,1.1808,2.6406,0.54895
,,,,,0.114,882.5,58,6.258,2.2449,4.9285,6.2565,2.2444,4.9218,6.2552,2.2439,4.9152,6.2538,2.2435,4.9087,6.2525,2.2432,4.9026
,,,,,0.116,886.22,59,4.4025,2.2281,3.9876,4.4017,2.2289,3.9898,4.4008,2.2297,3.9922,4.4,2.2305,3.9947,4.3991,2.2312,3.9971
,,,,,0.118,889.88,60,0.47048,2.4968,6.0783,0.47453,2.4967,6.0827,0.47857,2.4967,6.0871,0.48257,2.4967,6.0914,0.48632,2.4966,6.0954
,,,,,0.12,893.48,61,6.253,2.2437,4.9255,6.2516,2.2431,4.9187,6.2502,2.2426,4.9122,6.2487,2.2422,4.9056,6.2474,2.2418,4.8995
,,,,,0.122,897.02,62,2.7516,2.8947,2.9397,2.7476,2.8947,2.9397,2.744,2.8947,2.9399,2.7406,2.8948,2.9401,2.7375,2.8949,2.9405
,,,,,0.124,900.5,63,5.8126,2.1297,4.6795,5.8104,2.1272,4.6754,5.8081,2.125,4.6712,5.8058,2.1228,4.6671,5.8037,2.1208,4.6632
,,,,,0.126,903.93,64,4.5331,1.9982,4.7353,4.5316,1.9988,4.733,4.5301,1.9994,4.7306,4.5286,2.0,4.7283,4.5272,2.0006,4.7262
,,,,,0.128,907.3,65,5.3385,2.6368,4.6935,5.3386,2.6387,4.6961,5.3385,2.6405,4.6986,5.3385,2.6423,4.7012,5.3384,2.644,4.7037
,,,,,0.13,910.61,66,3.2542,2.9334,2.2932,3.2649,2.9367,2.3044,3.2758,2.9398,2.3158,3.2866,2.9428,2.3271,3.297,2.9456,2.338
,,,,,0.132,913.87,67,5.7159,1.8435,5.5843,5.7213,1.8462,5.5837,5.7266,1.8489,5.583,5.732,1.8516,5.5822,5.7372,1.8541,5.5815
,,,,,0.134,917.07,68,3.6829,2.477,3.1689,3.6836,2.4775,3.1681,3.6841,2.4781,3.1673,3.6846,2.4787,3.1666,3.6852,2.4793,3.1659
,,,,,0.136,920.23,69,5.4898,2.1713,4.3085,5.4894,2.1693,4.3059,5.4891,2.1673,4.3033,5.4888,2.1655,4.3008,5.4884,2.1638,4.2985
,,,,,0.138,923.33,70,5.5158,2.106,5.1267,5.5164,2.1058,5.1276,5.517,2.1056,5.1284,5.5176,2.1054,5.1292,5.5183,2.1052,5.13
,,,,,0.14,926.38,71,4.532,1.9982,4.7397,4.5304,1.9987,4.7374,4.5289,1.9992,4.735,4.5273,1.9998,4.7327,4.5259,2.0003,4.7304
,,,,,0.142,929.38,72,0.54196,2.7589,0.17218,0.54458,2.7595,0.17273,0.54698,2.7602,0.17327,0.54934,2.7609,0.1738,0.55155,2.7616,0.17429
,,,,,0.144,932.33,73,4.5307,1.9952,4.7353,4.5291,1.9958,4.733,4.5276,1.9964,4.7307,4.5262,1.997,4.7284,4.5248,1.9976,4.7263
,,,,,0.146,935.24,74,0.90517,2.573,5.8714,0.90576,2.5739,5.8726,0.90632,2.5752,5.8739,0.90681,2.5765,5.8751,0.90724,2.5778,5.8762
,,,,,0.148,938.09,75,3.7184,2.7247,3.4309,3.7199,2.7247,3.4303,3.7211,2.7249,3.4295,3.7223,2.7252,3.4286,3.7233,2.7256,3.4278
,,,,,0.15,940.9,76,4.3202,2.1642,4.4319,4.3202,2.1648,4.432,4.3201,2.1654,4.4321,4.3201,2.166,4.4322,4.3201,2.1666,4.4324
,,,,,0.152,943.67,77,5.0578,2.9479,4.4582,5.0603,2.9523,4.4608,5.0625,2.9567,4.4628,5.0646,2.961,4.4647,5.0665,2.965,4.4666
,,,,,0.154,946.39,78,4.8756,2.1048,5.2193,4.8742,2.1034,5.2152,4.8728,2.1021,5.2111,4.8713,2.1008,5.2068,4.87,2.0996,5.2027
,,,,,0.156,949.06,79,4.7709,2.2385,4.9697,4.7698,2.2385,4.9631,4.7688,2.2386,4.9568,4.7678,2.2388,4.9505,4.7669,2.2389,4.9446
,,,,,0.158,951.69,80,0.33265,2.5756,5.8225,0.34133,2.5771,5.8327,0.34978,2.5786,5.8426,0.35816,2.58,5.8524,0.36605,2.5813,5.8616
,,,,,0.16,954.28,81,5.2346,2.1174,5.3195,5.2367,2.1195,5.3156,5.2388,2.1217,5.3116,5.2409,2.1239,5.3076,5.2429,2.1261,5.3037
,,,,,0.162,956.83,82,2.7547,2.8873,2.9399,2.7507,2.8872,2.9398,2.747,2.8873,2.9399,2.7435,2.8874,2.9401,2.7403,2.8875,2.9404
,,,,,0.164,959.33,83,5.5523,2.5401,5.0703,5.5498,2.5398,5.0739,5.547,2.5391,5.0773,5.5442,2.5383,5.0805,5.5413,2.5376,5.0834
,,,,,0.166,961.8,84,3.3724,2.5908,2.9574,3.376,2.5904,2.959,3.3794,2.59,2.9607,3.3828,2.5895,2.9625,3.386,2.5891,2.9642
,,,,,0.168,964.23,85,0.47327,2.4956,6.0791,0.4773,2.4955,6.0835,0.48132,2.4955,6.0878,0.48531,2.4954,6.0921,0.48905,2.4954,6.0961
,,,,,0.17,966.61,86,0.92359,2.5728,5.8932,0.92391,2.5737,5.8944,0.92422,2.575,5.8955,0.92445,2.5764,5.8966,0.92465,2.5777,5.8976
,,,,,0.172,968.96,87,3.8525,2.6048,2.8938,3.8566,2.606,2.8989,3.8605,2.6071,2.9038,3.8642,2.6082,2.9085,3.8677,2.6092,2.9129
,,,,,0.174,971.27,88,5.811,2.1335,4.6804,5.8088,2.1309,4.6763,5.8065,2.1285,4.672,5.8042,2.1263,4.6678,5.8021,2.1242,4.6639
,,,,,0.176,973.54,89,0.18911,2.8137,0.10866,0.19385,2.8135,0.1124,0.19854,2.8133,0.11608,0.20332,2.813,0.11979,0.20796,2.8128,0.12337
,,,,,0.178,975.78,90,1.0319,2.8773,0.894,1.0372,2.8748,0.89853,1.0416,2.8722,0.90236,1.0456,2.8696,0.90581,1.0492,2.8672,0.90884
,,,,,0.18,977.98,91,2.7495,2.8892,2.9364,2.7456,2.8891,2.9363,2.7419,2.8891,2.9364,2.7385,2.8892,2.9367,2.7353,2.8893,2.9369
,,,,,0.182,980.14,92,5.0077,2.3698,4.8855,5.0084,2.3696,4.886,5.0091,2.3693,4.8865,5.0099,2.3691,4.8871,5.0106,2.3689,4.8877
,,,,,0.184,982.27,93,4.922,2.1854,4.5927,4.9243,2.1844,4.5978,4.9265,2.1834,4.6026,4.9287,2.1825,4.6074,4.9308,2.1817,4.6118
,,,,,0.186,984.37,94,4.768,2.2405,4.9665,4.7669,2.2406,4.96,4.7659,2.2407,4.9536,4.765,2.2408,4.9474,4.764,2.2409,4.9415
