tau_sat,b,tau_0,gamma_0,n,g1_phi_1_start,g1_phi_1_end,g1_Phi_start,g1_Phi_end,g1_phi_2_start,g1_phi_2_end,g2_phi_1_start,g2_phi_1_end,g2_Phi_start,g2_Phi_end,g2_phi_2_start,g2_phi_2_end,g3_phi_1_start,g3_phi_1_end,g3_Phi_start,g3_Phi_end,g3_phi_2_start,g3_phi_2_end,g4_phi_1_start,g4_phi_1_end,g4_Phi_start,g4_Phi_end,g4_phi_2_start,g4_phi_2_end,g5_phi_1_start,g5_phi_1_end,g5_Phi_start,g5_Phi_end,g5_phi_2_start,g5_phi_2_end
50.0,3.2,100.0,3.333e-05,2.0,5.2975,5.2872,1.4932,1.5073,0.97124,1.0862,4.1303,4.1832,0.57236,0.55686,1.6642,1.7462,5.594,5.6006,1.4059,1.344,1.0769,1.0826,5.8529,6.1232,0.33545,0.26418,0.98262,0.70063,5.6193,5.7213,1.2573,1.2022,0.61642,0.64187
50.0,3.2,200.0,3.333e-05,2.0,5.2975,5.2873,1.4932,1.5074,0.97124,1.086,4.1303,4.183,0.57236,0.55679,1.6642,1.7461,5.594,5.6006,1.4059,1.344,1.0769,1.0825,5.8529,6.1227,0.33545,0.26425,0.98262,0.7011,5.6193,5.7212,1.2573,1.2023,0.61642,0.64181
50.0,3.2,400.0,3.333e-05,2.0,5.2975,5.2873,1.4932,1.5074,0.97124,1.0855,4.1303,4.1827,0.57236,0.55665,1.6642,1.746,5.594,5.6006,1.4059,1.3442,1.0769,1.0824,5.8529,6.1217,0.33545,0.26441,0.98262,0.70211,5.6193,5.721,1.2573,1.2024,0.61642,0.64162
50.0,3.2,800.0,3.333e-05,2.0,5.2975,5.2874,1.4932,1.5076,0.97124,1.0845,4.1303,4.1819,0.57236,0.55641,1.6642,1.7458,5.594,5.6006,1.4059,1.3445,1.0769,1.0822,5.8529,6.1196,0.33545,0.26475,0.98262,0.70418,5.6193,5.7206,1.2573,1.2025,0.61642,0.64121
50.0,6.4,50.0,3.333e-05,2.0,5.2975,5.2872,1.4932,1.5073,0.97124,1.0863,4.1303,4.1833,0.57236,0.55689,1.6642,1.7462,5.594,5.6006,1.4059,1.344,1.0769,1.0826,5.8529,6.1234,0.33545,0.26412,0.98262,0.70039,5.6193,5.7214,1.2573,1.2022,0.61642,0.64193
50.0,6.4,100.0,3.333e-05,2.0,5.2975,5.2872,1.4932,1.5073,0.97124,1.0862,4.1303,4.1832,0.57236,0.55685,1.6642,1.7462,5.594,5.6006,1.4059,1.344,1.0769,1.0825,5.8529,6.1232,0.33545,0.26416,0.98262,0.70062,5.6193,5.7213,1.2573,1.2022,0.61642,0.64192
50.0,6.4,200.0,3.333e-05,2.0,5.2975,5.2873,1.4932,1.5074,0.97124,1.086,4.1303,4.183,0.57236,0.55678,1.6642,1.7461,5.594,5.6006,1.4059,1.3441,1.0769,1.0825,5.8529,6.1227,0.33545,0.26424,0.98262,0.7011,5.6193,5.7212,1.2573,1.2023,0.61642,0.64184
50.0,6.4,400.0,3.333e-05,2.0,5.2975,5.2873,1.4932,1.5074,0.97124,1.0855,4.1303,4.1827,0.57236,0.55665,1.6642,1.746,5.594,5.6006,1.4059,1.3442,1.0769,1.0824,5.8529,6.1217,0.33545,0.2644,0.98262,0.70211,5.6193,5.721,1.2573,1.2024,0.61642,0.64164
50.0,6.4,800.0,3.333e-05,2.0,5.2975,5.2875,1.4932,1.5076,0.97124,1.0845,4.1303,4.1819,0.57236,0.5564,1.6642,1.7458,5.594,5.6006,1.4059,1.3445,1.0769,1.0822,5.8529,6.1196,0.33545,0.26474,0.98262,0.70418,5.6193,5.7206,1.2573,1.2025,0.61642,0.64122
50.0,12.8,50.0,3.333e-05,2.0,5.2975,5.2872,1.4932,1.5073,0.97124,1.0863,4.1303,4.1833,0.57236,0.55689,1.6642,1.7462,5.594,5.6006,1.4059,1.344,1.0769,1.0825,5.8529,6.1234,0.33545,0.26411,0.98262,0.7004,5.6193,5.7213,1.2573,1.2022,0.61642,0.64198
