tau_sat,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30
50.0,0.8,800.0,3.333e-05,2.0,0.5,-2.1152e-14,1490.9,1611.2,1624.2,1626.8,1628.1,1629.2,1630.0,1630.8,1631.5,1632.0,1632.5,1632.8,1633.1,1633.4,1633.6,1633.7,1633.8,1633.8,1633.9,1633.9,1633.9,1633.8,1633.8,1633.7,1633.7,1633.6,1633.5,1633.5,1633.5
50.0,1.6,50.0,3.333e-05,2.0,0.5,-2.7541e-15,112.41,117.99,124.88,131.39,137.3,142.65,147.49,151.87,155.84,159.43,162.67,165.6,168.25,170.65,172.82,174.77,176.54,178.14,179.58,180.88,182.05,183.12,184.07,184.94,185.71,186.42,187.06,187.63,188.15
50.0,1.6,100.0,3.333e-05,2.0,0.5,-6.6099e-15,215.81,218.96,225.39,231.74,237.52,242.73,247.44,251.69,255.52,258.97,262.08,264.89,267.41,269.68,271.73,273.57,275.21,276.7,278.04,279.23,280.31,281.27,282.14,282.91,283.6,284.22,284.78,285.29,285.73
50.0,1.6,200.0,3.333e-05,2.0,0.5,-9.2539e-15,421.34,420.83,426.47,432.52,438.02,442.96,447.39,451.36,454.91,458.11,460.96,463.49,465.77,467.79,469.59,471.19,472.61,473.87,474.99,475.98,476.85,477.62,478.3,478.88,479.41,479.87,480.26,480.61,480.92
50.0,1.6,400.0,3.333e-05,2.0,0.5,-1.9389e-14,817.19,823.83,828.83,834.31,839.25,843.63,847.51,850.93,853.94,856.59,858.91,860.92,862.68,864.2,865.51,866.63,867.59,868.39,869.07,869.63,870.09,870.47,870.76,870.98,871.15,871.27,871.35,871.38,871.4
50.0,1.6,800.0,3.333e-05,2.0,0.5,-2.2914e-14,1492.3,1616.4,1632.9,1638.6,1642.6,1645.9,1648.7,1651.0,1652.8,1654.4,1655.7,1656.7,1657.3,1657.8,1658.1,1658.3,1658.3,1658.1,1657.9,1657.6,1657.2,1656.7,1656.2,1655.7,1655.2,1654.6,1654.0,1653.4,1652.8
50.0,3.2,50.0,3.333e-05,2.0,0.5,-1.8728e-15,120.02,131.62,142.85,152.36,160.24,166.74,172.08,176.49,180.09,183.06,185.48,187.45,189.05,190.34,191.39,192.22,192.88,193.4,193.8,194.11,194.33,194.5,194.61,194.68,194.71,194.72,194.72,194.68,194.65
50.0,3.2,100.0,3.333e-05,2.0,0.5,1.983e-15,223.05,232.33,243.18,252.61,260.39,266.78,272.02,276.3,279.79,282.63,284.93,286.78,288.26,289.43,290.36,291.07,291.62,292.02,292.31,292.51,292.63,292.7,292.71,292.69,292.64,292.56,292.47,292.36,292.25
50.0,3.2,200.0,3.333e-05,2.0,0.5,-1.0576e-14,427.83,433.67,443.88,453.12,460.73,466.93,471.94,476.0,479.25,481.85,483.89,485.49,486.72,487.65,488.33,488.81,489.13,489.3,489.37,489.36,489.27,489.14,488.95,488.74,488.52,488.27,488.02,487.76,487.5
50.0,3.2,400.0,3.333e-05,2.0,0.5,-1.8508e-14,822.17,835.56,845.46,854.37,861.63,867.41,872.0,875.6,878.37,880.48,882.03,883.13,883.86,884.3,884.48,884.48,884.32,884.03,883.66,883.21,882.7,882.15,881.58,880.99,880.39,879.81,879.22,878.65,878.09
50.0,3.2,800.0,3.333e-05,2.0,0.5,-1.9389e-14,1494.9,1625.5,1647.7,1657.4,1664.2,1669.2,1672.9,1675.6,1677.4,1678.6,1679.1,1679.2,1678.9,1678.3,1677.6,1676.6,1675.4,1674.2,1672.9,1671.5,1670.1,1668.8,1667.4,1666.0,1664.7,1663.4,1662.1,1660.9,1659.7
50.0,6.4,50.0,3.333e-05,2.0,0.5,-4.4066e-16,133.04,152.13,166.66,176.88,183.92,188.73,191.99,194.17,195.61,196.52,197.08,197.4,197.54,197.56,197.51,197.4,197.25,197.09,196.91,196.73,196.54,196.35,196.17,195.99,195.82,195.65,195.49,195.34,195.2
50.0,6.4,100.0,3.333e-05,2.0,0.5,-4.8473e-15,235.53,252.58,266.9,277.13,284.13,288.87,292.03,294.1,295.42,296.21,296.63,296.81,296.82,296.71,296.53,296.29,296.02,295.74,295.44,295.15,294.85,294.56,294.29,294.01,293.75,293.5,293.25,293.03,292.81
50.0,6.4,200.0,3.333e-05,2.0,0.5,-6.6099e-15,439.14,453.37,467.41,477.66,484.61,489.21,492.17,494.02,495.09,495.62,495.77,495.68,495.43,495.06,494.61,494.12,493.61,493.09,492.56,492.04,491.53,491.03,490.55,490.09,489.64,489.22,488.81,488.42,488.06
50.0,6.4,400.0,3.333e-05,2.0,0.5,-3.5253e-15,831.04,853.97,868.46,878.87,885.73,890.08,892.67,894.07,894.64,894.64,894.27,893.64,892.84,891.94,890.97,889.97,888.96,887.95,886.96,885.98,885.04,884.12,883.23,882.38,881.56,880.78,880.04,879.34,878.67
50.0,6.4,800.0,3.333e-05,2.0,0.5,-8.8132e-15,1499.8,1640.7,1669.1,1681.6,1688.6,1692.5,1694.4,1695.0,1694.6,1693.5,1692.1,1690.4,1688.5,1686.5,1684.5,1682.4,1680.4,1678.4,1676.5,1674.6,1672.7,1670.9,1669.1,1667.6,1665.9,1664.5,1663.0,1661.6,1660.3
50.0,12.8,50.0,3.333e-05,2.0,0.5,0.0,152.51,176.21,188.67,194.83,197.75,199.03,199.51,199.6,199.5,199.3,199.05,198.8,198.53,198.26,198.0,197.75,197.51,197.27,197.03,196.82,196.61,196.4,196.2,196.01,195.83,195.67,195.5,195.35,195.2
50.0,12.8,100.0,3.333e-05,2.0,0.5,-5.5082e-15,254.38,276.64,289.1,295.3,298.16,299.33,299.68,299.62,299.37,299.02,298.64,298.23,297.82,297.42,297.03,296.65,296.27,295.92,295.58,295.24,294.92,294.61,294.32,294.03,293.76,293.51,293.26,293.04,292.81
50.0,12.8,200.0,3.333e-05,2.0,0.5,-5.7286e-15,456.59,477.31,489.93,496.26,499.03,499.99,500.07,499.73,499.17,498.53,497.84,497.15,496.46,495.79,495.13,494.49,493.87,493.27,492.69,492.14,491.6,491.08,490.59,490.11,489.66,489.23,488.82,488.43,488.06
50.0,12.8,400.0,3.333e-05,2.0,0.5,2.644e-15,845.29,877.41,891.56,898.32,900.96,901.53,901.09,900.17,899.01,897.77,896.49,895.22,893.96,892.72,891.52,890.37,889.24,888.15,887.09,886.08,885.11,884.17,883.26,882.4,881.58,880.8,880.05,879.34,878.67
50.0,12.8,800.0,3.333e-05,2.0,0.5,-2.4677e-14,1508.1,1661.5,1692.7,1702.5,1705.4,1705.4,1704.0,1702.0,1699.6,1697.2,1694.7,1692.2,1689.8,1687.4,1685.1,1682.9,1680.7,1678.7,1676.6,1674.7,1672.8,1671.0,1669.2,1667.6,1666.0,1664.4,1663.0,1661.6,1660.3
50.0,25.6,50.0,3.333e-05,2.0,0.5,3.3049e-16,175.53,194.52,199.6,200.76,200.83,200.62,200.32,200.02,199.71,199.41,199.11,198.82,198.54,198.27,198.01,197.75,197.51,197.27,197.03,196.82,196.61,196.4,196.2,196.01,195.83,195.66,195.5,195.35,195.2
50.0,25.6,100.0,3.333e-05,2.0,0.5,2.2033e-16,277.14,295.33,300.34,301.41,301.35,300.97,300.52,300.06,299.59,299.14,298.69,298.26,297.84,297.43,297.03,296.65,296.27,295.92,295.58,295.24,294.92,294.61,294.32,294.03,293.76,293.51,293.26,293.04,292.81
50.0,25.6,200.0,3.333e-05,2.0,0.5,2.644e-15,478.47,496.73,501.84,502.79,502.44,501.75,500.97,500.18,499.41,498.65,497.9,497.19,496.48,495.8,495.13,494.49,493.87,493.27,492.69,492.14,491.6,491.08,490.59,490.11,489.66,489.23,488.82,488.43,488.06
50.0,25.6,400.0,3.333e-05,2.0,0.5,1.322e-14,864.39,898.08,904.85,905.73,904.87,903.54,902.12,900.69,899.28,897.9,896.56,895.25,893.98,892.73,891.53,890.37,889.24,888.15,887.09,886.08,885.11,884.17,883.26,882.4,881.58,880.8,880.05,879.34,878.67
50.0,25.6,800.0,3.333e-05,2.0,0.5,-1.2338e-14,1520.7,1682.9,1708.7,1712.0,1710.6,1708.1,1705.4,1702.6,1700.0,1697.3,1694.8,1692.2,1689.8,1687.4,1685.1,1682.9,1680.7,1678.7,1676.6,1674.7,1672.8,1671.0,1669.2,1667.6,1666.0,1664.4,1663.0,1661.6,1660.3
100.0,0.1,50.0,3.333e-05,2.0,0.5,-2.8643e-15,105.03,103.63,104.29,105.23,106.2,107.15,108.1,109.04,109.97,110.89,111.81,112.73,113.63,114.53,115.43,116.32,117.21,118.09,118.97,119.85,120.71,121.59,122.45,123.32,124.17,125.03,125.89,126.75,127.6
100.0,0.1,100.0,3.333e-05,2.0,0.5,2.2033e-16,208.83,204.94,205.09,205.85,206.64,207.44,208.22,209.0,209.77,210.55,211.32,212.09,212.86,213.62,214.39,215.16,215.92,216.69,217.44,218.21,218.98,219.74,220.52,221.28,222.06,222.82,223.6,224.37,225.16
100.0,0.1,200.0,3.333e-05,2.0,0.5,6.1692e-15,415.13,407.48,406.76,407.15,407.61,408.07,408.53,408.99,409.46,409.92,410.4,410.88,411.37,411.86,412.36,412.87,413.39,413.91,414.45,414.98,415.54,416.1,416.67,417.25,417.84,418.44,419.05,419.67,420.3
100.0,0.1,400.0,3.333e-05,2.0,0.5,5.2879e-15,812.49,811.84,810.33,810.01,809.79,809.58,809.38,809.2,809.04,808.9,808.77,808.68,808.59,808.54,808.5,808.49,808.5,808.54,808.61,808.7,808.8,808.95,809.12,809.31,809.53,809.78,810.06,810.37,810.7
100.0,0.1,800.0,3.333e-05,2.0,0.5,-5.2879e-15,1489.9,1607.2,1616.9,1616.6,1615.1,1613.6,1612.0,1610.6,1609.2,1607.8,1606.4,1605.1,1603.9,1602.7,1601.6,1600.4,1599.4,1598.5,1597.6,1596.8,1596.0,1595.2,1594.6,1594.0,1593.5,1593.0,1592.6,1592.2,1591.9
100.0,0.2,50.0,3.333e-05,2.0,0.5,-2.2033e-15,106.14,105.89,107.66,109.7,111.74,113.74,115.71,117.65,119.55,121.44,123.29,125.12,126.93,128.71,130.46,132.2,133.9,135.59,137.26,138.91,140.53,142.15,143.73,145.31,146.86,148.4,149.92,151.43,152.92
100.0,0.2,100.0,3.333e-05,2.0,0.5,-3.7456e-15,209.87,207.13,208.41,210.26,212.13,213.97,215.78,217.56,219.32,221.05,222.77,224.45,226.12,227.76,229.38,230.99,232.58,234.15,235.7,237.24,238.76,240.27,241.76,243.24,244.71,246.15,247.6,249.03,250.45
100.0,0.2,200.0,3.333e-05,2.0,0.5,-8.3725e-15,416.05,409.57,409.97,411.45,412.98,414.5,415.99,417.45,418.9,420.33,421.75,423.15,424.54,425.91,427.27,428.63,429.97,431.3,432.62,433.94,435.25,436.55,437.85,439.13,440.43,441.71,442.99,444.26,445.54
100.0,0.2,400.0,3.333e-05,2.0,0.5,7.0506e-15,813.18,813.7,813.32,814.1,814.96,815.81,816.64,817.47,818.3,819.12,819.94,820.76,821.59,822.42,823.25,824.09,824.93,825.78,826.64,827.5,828.38,829.26,830.17,831.07,832.0,832.93,833.88,834.85,835.82
100.0,0.2,800.0,3.333e-05,2.0,0.5,1.7626e-15,1490.2,1608.6,1619.5,1620.2,1619.9,1619.4,1619.0,1618.5,1618.0,1617.6,1617.2,1616.9,1616.5,1616.3,1616.0,1615.7,1615.6,1615.4,1615.3,1615.3,1615.3,1615.3,1615.4,1615.5,1615.7,1615.9,1616.2,1616.5,1616.8
100.0,0.4,50.0,3.333e-05,2.0,0.5,0.0,108.34,110.31,114.21,118.31,122.3,126.2,129.99,133.67,137.24,140.73,144.12,147.42,150.63,153.77,156.82,159.79,162.68,165.51,168.26,170.94,173.56,176.11,178.61,181.04,183.41,185.74,188.01,190.22,192.39
