tau_sat,b,tau_0,gamma_0,n,g1_phi_1,g1_Phi,g1_phi_2,g2_phi_1,g2_Phi,g2_phi_2,g3_phi_1,g3_Phi,g3_phi_2,g4_phi_1,g4_Phi,g4_phi_2,g5_phi_1,g5_Phi,g5_phi_2,g6_phi_1,g6_Phi,g6_phi_2,g7_phi_1,g7_Phi,g7_phi_2,g8_phi_1,g8_Phi,g8_phi_2,g9_phi_1,g9_Phi,g9_phi_2,g10_phi_1,g10_Phi,g10_phi_2,g11_phi_1,g11_Phi,g11_phi_2,g12_phi_1,g12_Phi,g12_phi_2,g13_phi_1,g13_Phi,g13_phi_2,g14_phi_1,g14_Phi,g14_phi_2,g15_phi_1,g15_Phi,g15_phi_2,g16_phi_1,g16_Phi,g16_phi_2,g17_phi_1,g17_Phi,g17_phi_2,g18_phi_1,g18_Phi,g18_phi_2,g19_phi_1,g19_Phi,g19_phi_2,g20_phi_1,g20_Phi,g20_phi_2,g21_phi_1,g21_Phi,g21_phi_2,g22_phi_1,g22_Phi,g22_phi_2
50.0,0.4,50.0,3.333e-05,4.0,5.2792,1.5195,1.1188,4.2604,0.57226,1.7623,5.599,1.3118,1.0886,0.090132,0.25004,0.44727,5.7942,1.1781,0.65792,5.6623,0.63414,6.2538,0.17178,0.26273,0.26673,4.3408,0.46569,1.8977,5.6335,0.3658,0.84707,5.6088,0.40794,0.90828,3.6197,0.36181,2.2491,5.4349,1.2356,1.1748,5.3471,1.1647,1.1183,4.5448,1.0782,0.51896,4.6705,1.331,1.8073,5.1732,1.4183,1.1972,4.489,0.30537,1.9997,5.5869,1.3573,0.032922,5.6289,1.2989,1.0629,5.5038,0.80692,0.97524,4.5336,1.2601,0.66985,4.4479,1.289,0.69511
50.0,0.4,50.0,3.333e-05,8.0,5.2754,1.54,1.1112,4.3039,0.59781,1.7654,5.587,1.2925,1.0959,0.23492,0.27516,0.30436,5.8381,1.1777,0.66456,5.667,0.63878,6.2409,0.2221,0.28539,0.22454,4.3234,0.48398,1.9145,5.5658,0.36946,0.9057,5.5421,0.41351,0.96307,3.5953,0.36218,2.2803,5.4245,1.2242,1.176,5.3222,1.1419,1.1405,4.4957,1.0729,0.54732,4.6627,1.3409,1.818,5.1722,1.4244,1.1893,4.4862,0.3136,1.9931,5.5852,1.3324,0.0056707,5.6203,1.2798,1.0702,5.4671,0.80815,0.98862,4.5086,1.2786,0.67669,4.4527,1.2974,0.69575
50.0,0.8,50.0,3.333e-05,1.0,5.2975,1.4932,0.97124,4.1303,0.57236,1.6642,5.594,1.4059,1.0769,5.8529,0.33545,0.98262,5.6193,1.2573,0.61642,5.7375,0.62908,6.2208,6.1475,0.26086,0.52519,4.3153,0.36936,1.947,5.6886,0.37073,0.79642,5.6158,0.46696,1.0269,3.8292,0.42919,1.9484,5.4261,1.3024,1.1978,5.3443,1.2595,1.0194,4.7331,1.0491,0.55667,4.6263,1.2157,1.9434,5.2102,1.4598,1.1492,4.5213,0.35137,1.9859,5.5532,1.4116,0.21198,5.6173,1.3881,1.0519,5.6191,0.74589,1.0458,4.7171,1.1415,0.68695,4.5129,1.2377,0.69137
50.0,0.8,50.0,3.333e-05,2.0,5.287,1.5072,1.0865,4.1832,0.5569,1.7465,5.6007,1.3439,1.0827,6.1234,0.26423,0.70045,5.7214,1.2023,0.64174,5.6748,0.6338,6.2542,0.06542,0.25553,0.35852,4.3401,0.43014,1.9108,5.6793,0.3667,0.80692,5.6544,0.41866,0.89807,3.7208,0.37325,2.1296,5.4347,1.2563,1.1798,5.354,1.2006,1.0816,4.636,1.0755,0.50412,4.6623,1.2961,1.8392,5.1867,1.4358,1.192,4.4931,0.31215,1.998,5.578,1.3811,0.10048,5.6278,1.3294,1.0566,5.5519,0.78538,0.99194,4.6055,1.2185,0.67079,4.4634,1.2739,0.69358
50.0,0.8,50.0,3.333e-05,4.0,5.2791,1.5194,1.1188,4.2603,0.57225,1.7624,5.599,1.3118,1.0886,0.089958,0.25015,0.44742,5.7943,1.1781,0.65779,5.6623,0.63416,6.2539,0.17152,0.26278,0.26703,4.3409,0.46572,1.8977,5.6331,0.36581,0.84749,5.6085,0.40795,0.90863,3.6193,0.36178,2.2494,5.4349,1.2356,1.1749,5.3471,1.1647,1.1183,4.5449,1.0781,0.51897,4.6706,1.3308,1.8072,5.1732,1.4184,1.1972,4.4889,0.30558,1.9998,5.5869,1.3573,0.033027,5.629,1.2989,1.0629,5.5038,0.80683,0.97533,4.5336,1.2601,0.66989,4.448,1.2891,0.69513
50.0,0.8,50.0,3.333e-05,8.0,5.2752,1.54,1.1112,4.3037,0.59779,1.7655,5.587,1.2925,1.0959,0.23465,0.27531,0.30461,5.8383,1.1779,0.66442,5.6669,0.63883,6.241,0.22181,0.28547,0.22487,4.3234,0.48402,1.9146,5.5656,0.36948,0.90599,5.5421,0.41353,0.96326,3.5948,0.36214,2.2807,5.4245,1.2242,1.176,5.3221,1.1419,1.1405,4.4958,1.0728,0.54732,4.6628,1.3406,1.8178,5.1722,1.4246,1.1892,4.4861,0.31383,1.9931,5.5852,1.3323,0.0057944,5.6203,1.2798,1.0702,5.467,0.80802,0.98876,4.5086,1.2786,0.67671,4.4528,1.2975,0.69577
50.0,1.6,50.0,3.333e-05,1.0,5.2975,1.4932,0.97124,4.1303,0.57236,1.6642,5.594,1.4059,1.0769,5.8529,0.33545,0.98262,5.6193,1.2573,0.61642,5.7375,0.62908,6.2208,6.1475,0.26086,0.52519,4.3153,0.36936,1.947,5.6886,0.37073,0.79642,5.6158,0.46696,1.0269,3.8292,0.42919,1.9484,5.4261,1.3024,1.1978,5.3443,1.2595,1.0194,4.7331,1.0491,0.55667,4.6263,1.2157,1.9434,5.2102,1.4598,1.1492,4.5213,0.35137,1.9859,5.5532,1.4116,0.21198,5.6173,1.3881,1.0519,5.6191,0.74589,1.0458,4.7171,1.1415,3.8285,4.5129,1.2377,0.69137
50.0,1.6,50.0,3.333e-05,2.0,5.287,1.5073,1.0864,4.1832,0.5569,1.7464,5.6007,1.3439,1.0827,6.1234,0.26421,0.70044,5.7214,1.2023,0.64176,5.6749,0.63379,6.2542,0.065525,0.25552,0.35839,4.3401,0.43012,1.9108,5.6795,0.3667,0.80667,5.6545,0.41867,0.8979,3.721,0.37329,2.1294,5.4347,1.2563,1.1797,5.354,1.2006,1.0816,4.636,1.0755,0.5041,4.6622,1.2961,1.8392,5.1867,1.4358,1.1919,4.493,0.31208,1.998,5.578,1.3811,0.10043,5.6278,1.3294,1.0566,5.5519,0.78539,0.9919,4.6055,1.2184,0.67077,4.4634,1.2739,0.69357
50.0,1.6,50.0,3.333e-05,4.0,5.2791,1.5194,1.1187,4.2602,0.5722,1.7623,5.599,1.3119,1.0886,0.090047,0.25013,0.44727,5.7943,1.1781,0.65776,5.6624,0.63415,6.2537,0.17168,0.26277,0.26683,4.3409,0.46571,1.8977,5.6334,0.36582,0.84718,5.6088,0.40797,0.90833,3.6195,0.36184,2.2491,5.4349,1.2356,1.1748,5.3471,1.1647,1.1182,4.5449,1.0781,0.5189,4.6706,1.3308,1.8072,5.1733,1.4184,1.1971,4.4888,0.30552,1.9998,5.5869,1.3573,0.032924,5.6289,1.2989,1.0629,5.5038,0.80682,0.97528,4.5336,1.26,0.66985,4.4479,1.289,0.69513
50.0,1.6,50.0,3.333e-05,8.0,5.2753,1.5399,1.1111,4.3037,0.59768,1.7654,5.5869,1.2926,1.0958,0.23474,0.27534,0.30443,5.8382,1.1778,0.66437,5.667,0.63884,6.2408,0.22197,0.28549,0.22467,4.3234,0.48402,1.9145,5.5661,0.36952,0.90553,5.5426,0.41356,0.96278,3.5951,0.36222,2.2803,5.4245,1.2243,1.1759,5.3221,1.142,1.1404,4.4958,1.0726,0.54724,4.6628,1.3405,1.8178,5.1723,1.4246,1.1891,4.4861,0.31375,1.9931,5.5853,1.3323,0.005649,5.6203,1.2799,1.0702,5.4669,0.80797,0.98874,4.5086,1.2785,0.67669,4.4527,1.2974,0.69578
50.0,3.2,50.0,3.333e-05,1.0,5.2975,1.4932,0.97124,4.1303,0.57236,1.6642,5.594,1.4059,1.0769,5.8529,0.33545,0.98262,5.6193,1.2573,0.61642,5.7375,0.62908,6.2208,6.1475,0.26086,0.52519,4.3153,0.36936,1.947,5.6886,0.37073,0.79642,5.6158,0.46696,1.0269,3.8292,0.42919,1.9484,5.4261,1.3024,1.1978,5.3443,1.2595,1.0194,4.7331,1.0491,0.55667,4.6263,1.2157,1.9434,5.2102,1.4598,1.1492,4.5213,0.35137,1.9859,5.5532,1.4116,0.21198,5.6173,1.3881,1.0519,5.6191,0.74589,1.0458,4.7171,1.1415,0.68695,4.5129,1.2377,0.69137
50.0,3.2,50.0,3.333e-05,2.0,5.2871,1.5073,1.0863,4.1832,0.5569,1.7463,5.6006,1.3439,1.0826,6.1234,0.26416,0.7004,5.7214,1.2022,0.64185,5.675,0.63378,6.254,0.06577,0.25548,0.35809,4.34,0.43009,1.9108,5.6801,0.36672,0.806,5.6549,0.41869,0.8975,3.7212,0.37337,2.1291,5.4347,1.2563,1.1796,5.354,1.2006,1.0816,4.6361,1.0756,0.50405,4.6622,1.2962,1.8393,5.1868,1.4358,1.1918,4.4929,0.31189,1.998,5.578,1.3811,0.10033,5.6278,1.3294,1.0566,5.552,0.78544,0.9918,4.6056,1.2185,0.67071,4.4634,1.2738,0.69354
50.0,3.2,50.0,3.333e-05,4.0,5.2794,1.5194,1.1185,4.2602,0.57212,1.762,5.5989,1.3119,1.0884,0.090328,0.24999,0.44694,5.7942,1.178,0.65786,5.6625,0.63411,6.2535,0.17218,0.26268,0.26624,4.3407,0.46565,1.8975,5.6341,0.36583,0.84626,5.6094,0.40798,0.9075,3.6205,0.36194,2.2481,5.4349,1.2356,1.1746,5.3471,1.1647,1.1181,4.545,1.0781,0.51877,4.6704,1.331,1.8074,5.1735,1.4183,1.197,4.4887,0.30521,1.9998,5.587,1.3573,0.032677,5.6289,1.299,1.0628,5.5038,0.80691,0.97511,4.5336,1.26,0.66976,4.4479,1.2889,0.6951
50.0,3.2,50.0,3.333e-05,8.0,5.2755,1.5398,1.1109,4.3037,0.59749,1.7649,5.5869,1.2926,1.0956,0.23513,0.27517,0.30395,5.838,1.1777,0.66444,5.6673,0.63879,6.2405,0.22254,0.28538,0.22399,4.3233,0.48397,1.9143,5.5669,0.36954,0.90448,5.5434,0.41357,0.96179,3.5964,0.36234,2.279,5.4245,1.2243,1.1757,5.3222,1.142,1.1402,4.4958,1.0726,0.54708,4.6627,1.3408,1.818,5.1725,1.4245,1.1889,4.4861,0.3134,1.9931,5.5854,1.3324,0.0053241,5.6202,1.28,1.07,5.4668,0.80806,0.98852,4.5085,1.2783,0.6766,4.4526,1.2973,0.69577
50.0,6.4,50.0,3.333e-05,1.0,5.2975,1.4932,0.97124,4.1303,0.57236,1.6642,5.594,1.4059,1.0769,5.8529,0.33545,0.98262,5.6193,1.2573,0.61642,5.7375,0.62908,6.2208,6.1475,0.26086,0.52519,4.3153,0.36936,1.947,5.6886,0.37073,0.79642,5.6158,0.46696,1.0269,3.8292,0.42919,1.9484,5.4261,1.3024,1.1978,5.3443,1.2595,1.0194,4.7331,1.0491,0.55667,4.6263,1.2157,1.9434,5.2102,1.4598,1.1492,4.5213,0.35137,1.9859,5.5532,1.4116,0.21198,5.6173,1.3881,1.0519,5.6191,0.74589,1.0458,4.7171,1.1415,0.68695,4.5129,1.2377,0.69137
50.0,6.4,50.0,3.333e-05,2.0,5.2872,1.5073,1.0863,4.1833,0.55689,1.7462,5.6006,1.344,1.0826,6.1234,0.26412,0.70039,5.7214,1.2022,0.64193,5.6751,0.63377,6.2539,0.06594,0.25545,0.35788,4.3399,0.43006,1.9108,5.6805,0.36675,0.80548,5.6551,0.4187,0.89722,3.7214,0.37342,2.1289,5.4347,1.2563,1.1796,5.354,1.2006,1.0816,4.6361,1.0756,0.50402,4.6622,1.2963,1.8394,5.1868,1.4358,1.1918,4.4929,0.31175,1.998,5.578,1.3811,0.10025,5.6278,1.3295,1.0565,5.552,0.78548,0.99172,4.6056,1.2185,0.67066,4.4634,1.2738,0.69351
50.0,6.4,50.0,3.333e-05,4.0,5.2796,1.5195,1.1184,4.2603,0.57205,1.7618,5.5989,1.3119,1.0883,0.090503,0.24985,0.44676,5.7941,1.1779,0.65799,5.6626,0.63408,6.2534,0.17257,0.26259,0.26579,4.3406,0.46561,1.8974,5.6348,0.36584,0.84551,5.61,0.40799,0.90683,3.6213,0.362,2.2473,5.435,1.2356,1.1745,5.3471,1.1647,1.118,4.545,1.0782,0.51867,4.6703,1.3312,1.8075,5.1736,1.4183,1.1969,4.4887,0.30495,1.9998,5.587,1.3574,0.032515,5.6288,1.299,1.0627,5.5038,0.80701,0.97496,4.5336,1.26,0.66968,4.4478,1.2889,0.69507
50.0,6.4,50.0,3.333e-05,8.0,5.2757,1.5398,1.1108,4.3039,0.59731,1.7646,5.5869,1.2927,1.0955,0.23539,0.27495,0.30366,5.8379,1.1775,0.66453,5.6673,0.63869,6.2404,0.22301,0.28523,0.22345,4.3232,0.48392,1.9141,5.5676,0.36954,0.90368,5.544,0.41356,0.96107,3.5976,0.36238,2.2778,5.4246,1.2243,1.1756,5.3223,1.142,1.1401,4.4958,1.0726,0.54693,4.6626,1.341,1.8181,5.1727,1.4244,1.1889,4.486,0.31309,1.9932,5.5854,1.3325,0.0051303,5.6202,1.28,1.0699,5.4669,0.80821,0.9883,4.5084,1.2783,0.67652,4.4524,1.2972,0.69575
